x	y	color	is_highlight
26616.96484375	15743.6142578125	5	false
25776.2109375	19163.16796875	5	false
25937.15625	19106.484375	5	false
25790.892578125	19033.45703125	5	false
25764.466796875	19025.7421875	5	false
25724.833984375	18918.998046875	5	false
26033.169921875	19089.462890625	5	false
25826.34375	18761.982421875	5	false
25448.716796875	18976.228515625	5	false
25452.138671875	19040.5390625	5	false
25468.125	18811.21484375	5	false
25510.30078125	19105.240234375	5	false
25535.69140625	19071.537109375	5	false
25598.76953125	19045.26171875	5	false
25608.767578125	18748.23828125	5	false
25084.900390625	18593.251953125	5	true
25818.63671875	18169.23046875	5	false
25946.3828125	18271.357421875	5	false
25917.248046875	18332.9453125	5	false
25955.87109375	18313.515625	5	false
26009.7578125	18258.943359375	5	false
26323.91015625	17976.45703125	5	false
26352.9140625	17966.9453125	5	false
26570.798828125	17962.357421875	5	false
26669.037109375	17995.6875	5	false
26643.263671875	17945.2109375	5	false
26148.212890625	18014.861328125	5	false
26163.19140625	18061.42578125	5	false
26067.103515625	18119.33984375	5	false
25940.06640625	18129.384765625	5	false
25958.056640625	18166.078125	5	false
26314.849609375	17916.70703125	5	false
25446.48828125	18280.06640625	5	false
25603.466796875	18400.677734375	5	false
25807.421875	18207.57421875	5	false
25721.689453125	18199.955078125	5	false
25785.75390625	18383.46484375	5	false
25693.939453125	18385.89453125	5	false
25019.498046875	18421.21484375	5	true
25115.17578125	18217.46875	5	true
25178.9921875	18199.861328125	5	true
25241.529296875	18381.5703125	5	true
25367.044921875	18277.84375	5	false
25332.19921875	18259.021484375	5	false
25418.982421875	17917.646484375	5	false
25458.109375	18142.791015625	5	false
25738.373046875	18115.716796875	5	false
25730.794921875	18144.78125	5	false
25730.623046875	17956.41015625	5	false
25024.36328125	18094.19140625	5	true
25200.12890625	18088.708984375	5	true
25151.900390625	18130.07421875	5	true
25132.677734375	18126.607421875	5	true
25222.80078125	18020.74609375	5	true
25078.107421875	18119.724609375	5	true
25250.57421875	18003.69140625	5	false
25284.12890625	18168.1171875	5	false
23921.80078125	20132.16796875	5	false
24189.962890625	20057.7734375	5	false
24210.953125	20197.578125	5	false
24057.5078125	20125.408203125	5	false
24073.998046875	20027.927734375	5	false
24045.212890625	20179.2578125	5	false
24158.69140625	19881.751953125	5	false
24293.603515625	19682.01171875	5	false
24231.01953125	19762.443359375	5	false
24234.04296875	19849.38671875	5	false
24278.419921875	19875.580078125	5	false
24226.46484375	19881.884765625	5	false
24280.990234375	19831.12109375	5	false
24205.869140625	19705.169921875	5	false
24252.47265625	19951.21484375	5	false
24248.87109375	19900.658203125	5	false
24194.681640625	19897.9140625	5	false
24298.67578125	19729.638671875	5	false
24260.326171875	19737.19921875	5	false
24330.67578125	19757.564453125	5	false
24342.408203125	19926.572265625	5	false
24365.7265625	19755.23828125	5	false
24350.392578125	19717.4140625	5	false
23951.548828125	19682.466796875	5	false
24000.53125	19939.763671875	5	false
24107.84375	19933.2890625	5	false
24066.509765625	19687.775390625	5	false
23991.849609375	19880.333984375	5	false
24011.5546875	19902.765625	5	false
24028.939453125	19697.08984375	5	false
24107.369140625	19771.638671875	5	false
24143.79296875	19968.5	5	false
23772.013671875	19903.44140625	5	false
23781.623046875	19848.4453125	5	false
23866.923828125	19955.88671875	5	false
23799.54296875	19833.306640625	5	false
23918.115234375	20041.25	5	false
23845.208984375	19756.396484375	5	false
23859.357421875	20089.025390625	5	false
23905.095703125	20101.615234375	5	false
23909.736328125	19869.142578125	5	false
23828.5546875	19814.189453125	5	false
23665.1640625	19765.9609375	5	false
23632.677734375	19693.54296875	5	false
23732.9609375	19646.572265625	5	false
23714.833984375	19851.056640625	5	false
24066.693359375	18386.080078125	5	true
24352.498046875	19306.646484375	5	false
24400.3828125	19274.29296875	5	false
24425.498046875	19261.248046875	5	false
24480.982421875	19496.28125	5	false
24461.91796875	19465.6640625	5	false
24119.671875	19490.595703125	5	false
24246.654296875	19499.7890625	5	false
24205.794921875	19519.068359375	5	false
24328.759765625	19570.287109375	5	false
24306.001953125	19331.150390625	5	false
24209.60546875	19377.720703125	5	false
24395.396484375	19189.533203125	5	false
24363.861328125	19199.12109375	5	false
24379.09765625	19226.310546875	5	false
24424.099609375	18978.080078125	5	true
24514.783203125	18971.8359375	5	true
24438.1875	19104.53125	5	true
24516.470703125	19005.904296875	5	true
24408.1328125	19117.1875	5	true
24198.279296875	19220.173828125	5	true
24106.533203125	18923.0078125	5	true
24070.380859375	18909.376953125	5	true
24142.333984375	19211.240234375	5	true
24339.64453125	19062.314453125	5	true
24337.333984375	19191.271484375	5	true
24813.26171875	18372.099609375	5	true
24851.623046875	18557.27734375	5	true
24890.205078125	18560.767578125	5	true
25004.806640625	18581.119140625	5	true
24998.20703125	18433.166015625	5	true
24990.63671875	18405.80078125	5	true
24962.748046875	18511.501953125	5	true
24563.029296875	18394.291015625	5	true
24789.0390625	18081.365234375	5	true
24825.533203125	18299.4609375	5	true
24827.71875	18037.353515625	5	true
24952.8671875	18041.623046875	5	true
24883.16796875	18111.708984375	5	true
24908.16796875	18135.484375	5	true
25007.021484375	18012.3359375	5	true
24978.76953125	18250.26953125	5	true
24953.068359375	18096.912109375	5	true
24947.63671875	18013.79296875	5	true
24926.05078125	18333.0703125	5	true
24641.21484375	18232.203125	5	true
24604.91796875	18002.84375	5	true
24634.47265625	18035.392578125	5	true
24702.208984375	18164.048828125	5	true
24694.1484375	18256.07421875	5	true
24692.814453125	18299.603515625	5	true
24654.71484375	18060.599609375	5	true
24751.328125	18078.671875	5	true
24759.51953125	18107.4140625	5	true
24768.466796875	18025.517578125	5	true
24406.1015625	18808.00390625	5	true
24384.017578125	18439.640625	5	true
24185.6640625	18655.685546875	5	true
24397.9375	18151.095703125	5	true
24398.111328125	18301.435546875	5	true
24434.35546875	18093.0859375	5	true
24528.51953125	17950.3359375	5	true
24492.193359375	17916.03515625	5	true
24466.4609375	18191.2734375	5	true
24508.796875	18174.21875	5	true
24497.611328125	18195.27734375	5	true
24076.58984375	18260.9921875	5	true
24154.306640625	18086.62890625	5	true
24178.892578125	18381.734375	5	true
24193.046875	18099.287109375	5	true
24249.919921875	18132.111328125	5	true
23852.048828125	19383.4921875	5	false
24016.654296875	19357.634765625	5	false
23909.466796875	19530.533203125	5	false
23905.369140625	19467.904296875	5	false
23819.2578125	19322.17578125	5	false
23828.263671875	19575.025390625	5	false
23823.00390625	19610.337890625	5	false
23605.15625	19563.38671875	5	false
23660.91796875	19254.078125	5	true
23664.671875	19605.626953125	5	false
23672.423828125	19459.609375	5	false
23672.908203125	19290.2890625	5	true
23604.3671875	19509.65234375	5	false
23583.421875	19475.400390625	5	false
23682.439453125	19536.244140625	5	false
23702.37890625	19257.181640625	5	true
23704.0078125	19507.181640625	5	false
23773.06640625	19515.921875	5	false
23926.744140625	18914.806640625	5	true
23920.044921875	19008.888671875	5	true
23904.31640625	19130.31640625	5	true
23961.115234375	19097.150390625	5	true
23963.873046875	19010.5546875	5	true
24006.5859375	18942.564453125	5	true
23637.09375	19080.767578125	5	true
23588.333984375	18946.810546875	5	true
23650.462890625	19161.388671875	5	true
23706.080078125	19118.240234375	5	true
23751.078125	19062.078125	5	true
23761.390625	19002.34765625	5	true
23429.345703125	18860.216796875	5	true
23480.69921875	19128.1953125	5	true
23416.841796875	18998.748046875	5	true
23481.421875	18877.4140625	5	true
23527.12109375	19035.646484375	5	true
23505.23046875	18842.53125	5	true
23534.439453125	19006.58203125	5	true
23544.197265625	18898.654296875	5	true
23567.91796875	19017.896484375	5	true
23799.37890625	18576.919921875	5	true
24048.1640625	18733.89453125	5	true
23560.4765625	18700.529296875	5	true
23642.03125	18644.31640625	5	true
23689.978515625	18727.287109375	5	true
23638.73046875	18737.82421875	5	true
23746.1640625	18556.927734375	5	true
23913.720703125	18359.54296875	5	true
23335.767578125	18338.01953125	5	true
23454.310546875	18567.705078125	5	true
23369.17578125	18580.59375	5	true
23415.6953125	18458.5546875	5	true
23511.986328125	18702.826171875	5	true
23527.61328125	18475.99609375	5	true
23326.1328125	18276.259765625	5	true
23327.935546875	18222.751953125	5	true
23348.046875	18164.447265625	5	true
23378.77734375	18173.287109375	5	true
23419.603515625	18303.080078125	5	true
23441.841796875	18021.845703125	5	true
23467.822265625	17928.15234375	5	true
23471.71484375	18219.904296875	5	true
23482.482421875	17948.6796875	5	true
23510.21484375	18052.52734375	5	true
23471.00390625	18023.880859375	5	true
23235.35546875	17968.189453125	5	true
23245.400390625	17941.197265625	5	true
23311.2734375	18051.01953125	5	true
26552.177734375	17798.58203125	5	false
26558.259765625	17887.25	5	false
26632.494140625	17759.666015625	5	false
26701.734375	17745.525390625	5	false
26738.32421875	17729.755859375	5	false
26878.490234375	17791.080078125	5	false
26274.1171875	17673.640625	5	false
26176.052734375	17804.412109375	5	false
26251.900390625	17821.01171875	5	false
26238.728515625	17651.244140625	5	false
26253.90625	17853.248046875	5	false
26160.53515625	17657.71875	5	false
26334.232421875	17794.75390625	5	false
26410.15625	17846.50390625	5	false
26367.09765625	17822.69921875	5	false
26338.6484375	17722.912109375	5	false
26355.28125	17655.859375	5	false
26417.029296875	17740.794921875	5	false
26417.736328125	17910.587890625	5	false
26440.9609375	17736.912109375	5	false
26448.869140625	17842.119140625	5	false
26541.8671875	17864.548828125	5	false
26583.955078125	17564.982421875	5	false
26625.58203125	17621.33984375	5	false
26621.990234375	17565.265625	5	false
26623.33203125	17503.224609375	5	false
26729.5546875	17605.173828125	5	false
26771.162109375	17575.419921875	5	false
26331.5390625	17620.4375	5	false
26343.21875	17399.298828125	5	false
26284.162109375	17438.9921875	5	false
26380.5703125	17477.5625	5	false
26404.083984375	17399.4296875	5	false
26543.490234375	17513.04296875	5	false
26531.3515625	17624.36328125	5	false
26660.306640625	17063.732421875	5	false
26754.525390625	17005.833984375	5	false
26862.1015625	17082.779296875	5	false
26685.083984375	17087.90234375	5	false
26262.033203125	17121.1171875	5	false
26252.572265625	17159.201171875	5	false
26285.83203125	17150.314453125	5	false
26419.958984375	17060.560546875	5	false
26498.203125	17195.2265625	5	false
26632.923828125	16747.689453125	5	false
26895.9921875	16919.92578125	5	false
26872.0234375	16949.365234375	5	false
26803.861328125	16763.099609375	5	false
26887.2421875	16742.779296875	5	false
26464.205078125	16902.87890625	5	false
26361.66796875	16912.5234375	5	false
26522.384765625	16868.07421875	5	false
26595.544921875	16788.6796875	5	false
26609.201171875	16823.921875	5	false
26839.71484375	16486.73046875	5	false
26801.73046875	16633.857421875	5	false
26634.84375	16697.2265625	5	false
26658.79296875	16622.025390625	5	false
26646.212890625	16605.609375	5	false
26764.388671875	16568.59375	5	false
26653.53515625	16566.5	5	false
26557.068359375	16504.302734375	5	false
26534.92578125	16669.78125	5	false
26490.98828125	16518.1875	5	false
26718.203125	16395.45703125	5	false
26866.638671875	16455.25390625	5	false
26819.361328125	16454.703125	5	false
26252.72265625	16367.1796875	5	false
26298.607421875	16385.79296875	5	false
26353.744140625	16473.4765625	5	false
26532.248046875	16330.474609375	5	false
26521.953125	16030.2880859375	5	false
26552.63671875	16153.388671875	5	false
26267.640625	16213.53515625	5	false
26414.103515625	16065.2685546875	5	false
26191.814453125	16034.9228515625	5	false
26404.234375	16239.8251953125	5	false
26293.025390625	16035.822265625	5	false
26473.857421875	16064.4970703125	5	false
26674.365234375	15816.12890625	5	false
26178.09765625	15794.080078125	5	false
26247.251953125	15968.5927734375	5	false
26198.869140625	15857.708984375	5	false
26322.841796875	15883.3212890625	5	false
26466.59375	15757.6083984375	5	false
26490.134765625	15761.5400390625	5	false
26523.578125	15767.7646484375	5	false
25907.21875	17744.51953125	5	false
25956.564453125	17745.72265625	5	false
25774.873046875	17715.697265625	5	false
25889.498046875	17698.708984375	5	false
26087.064453125	17837.75390625	5	false
26061.78515625	17831.595703125	5	false
25561.880859375	17672.115234375	5	false
25266.314453125	17869.84375	5	false
25450.814453125	17831.751953125	5	false
25441	17884.638671875	5	false
25379.26953125	17738.31640625	5	false
25439.546875	17858.6953125	5	false
25849.7421875	17579.41796875	5	false
26057.140625	17592.384765625	5	false
26025.404296875	17600.85546875	5	false
26032.541015625	17651.314453125	5	false
25417.9921875	17606.0078125	5	false
25434.775390625	17537.052734375	5	false
25475.07421875	17499.298828125	5	false
24866.826171875	17752.103515625	5	true
25077.0859375	17866.87890625	5	true
24858.232421875	17887.162109375	5	true
25171.701171875	17823.47265625	5	false
24536.83984375	17910.990234375	5	true
24681.33984375	17693.1015625	5	true
24539.701171875	17787.087890625	5	true
24553.578125	17834.994140625	5	true
24633.025390625	17738.67578125	5	true
24544.953125	17748.76171875	5	true
24697.470703125	17847.14453125	5	true
24669.115234375	17909.53515625	5	true
24600.560546875	17796.7578125	5	true
24723.86328125	17829.43359375	5	true
24731.9375	17848.998046875	5	true
25048.556640625	17609.251953125	5	true
24978.6875	17626.8515625	5	true
25083.7578125	17601.662109375	5	false
24648.3671875	17460.330078125	5	true
24597.07421875	17419.259765625	5	true
24742.681640625	17553.72265625	5	true
24784.927734375	17611.8515625	5	true
25325.9453125	17110.771484375	5	false
25841.548828125	17267.859375	5	false
25867.453125	17115.03515625	5	false
25866.388671875	17164.591796875	5	false
25421.841796875	17180.20703125	5	false
25395.197265625	17130.87109375	5	false
25453.455078125	17191.001953125	5	false
25438.599609375	17294.873046875	5	false
25499.927734375	17253.45703125	5	false
25593.953125	17381.392578125	5	false
25616.09765625	17213.19921875	5	false
25614.470703125	17255.93359375	5	false
25653.419921875	17298.2265625	5	false
25657.00390625	17327.39453125	5	false
25660.919921875	17308.677734375	5	false
25695.630859375	17092.921875	5	false
26134.337890625	17087.88671875	5	false
25450.48828125	17102.33984375	5	false
25432.8125	16813.455078125	5	false
25334.595703125	16919.79296875	5	false
25330.26171875	17033.47265625	5	false
25403.189453125	17018.638671875	5	false
25555.248046875	16961.501953125	5	false
25650.927734375	17051.439453125	5	false
25017.47265625	17305.28125	5	false
24923.173828125	17274.91796875	5	false
25119.978515625	17357.7890625	5	false
24542.830078125	17118.103515625	5	true
24522.53515625	17188.375	5	true
24706.0234375	17110.140625	5	true
24736.798828125	17203.751953125	5	true
24665.208984375	17157.3671875	5	true
24714.755859375	17130.875	5	true
24686.98828125	17159.31640625	5	true
24804.048828125	17175.970703125	5	true
24825.810546875	17103.693359375	5	false
24829.146484375	17124.0078125	5	false
24947.89453125	16914.681640625	5	false
25166.330078125	16890.63671875	5	false
